phrase,ref
"And my boss was very surprised that I can manage the relationship between the customers and the company so good, because it is very necessary for us to build a long-term good relationship with the customers.",mixed
"We call this CRM management, customers relationship management.",mixed
"So, every time I was talking very with customers, Russian customers, my boss was very happy.",external
And every time I saw some Russian customers left some very good reviews to me on the ESS web of our restaurant I was so happy.,external
Something like this.,mixed
"Because it is a Russian restaurant, people never thought that they would hire Chinese people to make the culture here much more diverse, and people feel that I was very rare in the Russian restaurant and they can't stop to talk with me because they really want to speak with the foreigners.",mixed
"I can see that the Russian people they treat everyone very good, very hospitable.",mixed
"Every time a lot of Russian people came to me, and they may have thought that I can't speak Russian very well and they talked with me using English very actively because they really want to know me and make friends with me.",mixed
Sometimes I get tips from them.,mixed
I feel really happy.,internal
"And also, some Russian customers, they can't speak English very well, but I can understand what they want me to do for them.",mixed
"Oh, I don't know what they were talking about, but I know that I just give the clothes to them and let them pick up something from their pockets, because I can get to know what's their intentions from the same languages.",mixed
And sometimes they just want to smoke.,mixed
"I will tell them, there were some blankets by the doors.",mixed
"If you really want to go outside for cigarettes, you can pick up some blankets rather than your coat.",mixed
Something like this.,mixed
Yeah.,mixed
"Language isn't the key, but sometimes you need to use it hard to get to know what they want.",mixed
Something like this.,mixed
Yeah.,mixed
"Yeah, I'm glad to help you.",internal
If you have chance you can come to visit my restaurant also.,mixed
"Yeah, no worries, and it was kind of one of the best Chinese restaurants in St. Petersburg and also one of the landmarks in St. Petersburg, something like this.",mixed
"Yeah, we are kind of three in one.",mixed
"We have the restaurant, we have the bar and also, we have the smoke zone, something like this.",mixed
The most valuable lesson that I think I have learned from my working place was that you should never underestimate the occupation that you are going with.,mixed
"You know sometimes some people feel like: I don't want to be a waiter because waiter is a very low skilled job, I can't learn anything from such low job occupations because it makes me a low person, but the reality doesn't work this way.",mixed
"Some Chinese people have very high vanity, they like to buy luxury goods to show their data scores, and they want to be a manager in some famous companies like JP Morgan, like Citi, but sometimes you shouldn't make your expectations so high.",mixed
"If you have such high expectations for your future, for your occupations, for your future careers, you have a high possibility of being disappointed if you didn't reach your goals.",mixed
So I put my goals very low because I know my ability.,internal
Previously I also behaved as most of the Chinese people.,external
I want to go to one of the top 20 universities in the world and after graduation I will be a super manager in some top 100 companies in the world.,internal
"But sometimes, that isn't the future of you.",mixed
Sometimes you desire very low at first.,mixed
"Do some, you can just divide your goals into some achievable goals and achieve the goals step by step.",mixed
Just make yourself as low as possible.,mixed
Sometimes don't give too many expectations to yourself.,mixed
"You know, previously I also was seeking some manager jobs in some big company in St. Petersburg, but I failed.",mixed
"So, I started to make myself as low as possible to do something that I can do, but it doesn't mean that I'm a low person.",internal
I did a great job.,internal
I love my job.,internal
"It isn't that high, but I receive good salaries.",mixed
"I receive 70,000 rubles for one month.",mixed
"I receive tips every day, and I receive some love letters from girls.",mixed
"I have my own surprise, you know.",mixed
"You know, every day I come to my restaurant, I have surprises.",mixed
I met different people.,mixed
"I knew new people and I get free coffee, I get a free meal, I get a free taxi back home, you know sometimes you shouldn’t image yourself so perfectly just treat yourself as low as possible do some lawless job from the very beginning.",mixed
This is the greatest lesson that I learned from my workplace.,internal
"It depends on the country, I think.",mixed
"To have some restaurants in Russia, it is a money-making industry, but if you want to have a restaurant in China it's goanna be a problem, because nowadays China doesn't have a very good environment.",mixed
"A lot of the youngsters, millennials, generation Z, they are kind of having no opportunities in China because all the opportunities have been occupied by the older generations.",mixed
"You know, in this year, China will have 10 million graduates, but only 10% of them, they will be able to find decent job.",mixed
"But 90% of the Chinese graduates, they will be confronted with unemployment.",mixed
That's a serious problem.,mixed
"But also, you know, China nowadays has a lot of down industries.",mixed
"For example, the brick and mortar and the physical stores.",mixed
"If I want to have a restaurant in China, I need to pay for the rent.",mixed
"I need to pay for the electricity, water, employees, food, everything.",mixed
"You know, a lot of the Chinese customers, they are very picky, they are very fastidious.",mixed
"You know, doing something related to this restaurant in China, you will spend all of your time doing something useless, I think.",mixed
"It won't make you money, but it definitely will make you lose a lot of money.",mixed
"So, I won't consider having a restaurant in China, but maybe I will have some restaurants related with African food in Russia.",internal
"Because, you know, in Russia, you have never heard about the African food, right?",mixed
But the African food is very popular.,mixed
"One of my best friends, William, cooked me a lot of Nigerian stew meat.",mixed
I really like this dish.,mixed
"So, as far as I can see, in Russia, there isn’t any African restaurants.",mixed
"I will be very glad to have some African restaurants in Russia, maybe in Yekaterinburg, maybe in Vladivostok, yeah, for these two cities, something like this.",mixed
"Yes, yes, yes.",mixed
"It really depends on the situation, because I really want to continue to study my PhD degree of management in Russia because the Russian government, they were very willing to provide me the full scholarship.",mixed
It gives me a huge motivation because it means that I'm good student.,external
I'ma  hard-working student and PhD because I like studying.,internal
"Studying turns me into a better human being, but I think I had already chosen my destination in Russia.",internal
I would be very willing to go to Yekaterinburg or Vladivostok.,internal
"So Vladivostok is very near to China, and also it has very beautiful Japanese seas.",mixed
"That's a good place for me to go, but also Yekaterinburg, because I really can't make the decision right now, because I had already let my best friend, Troby, who can speak five languages, I had already let my best friend help me apply for the full scholarship of my PhD degrees.",mixed
"If I get the full scholarship of my PhD degree in Yekaterinburg, I will go to Yekaterinburg.",mixed
"If I get that in Vladivostok, I will go to Vladivostok, something like this.",mixed
So and also while I was studying my PhD degrees I will start here to do my Tik-Tok because I'm also a blogger and also influencer in China.,mixed
"I will continue to do my tik-tok and make my outcomes, have millions of fans, so I can do some endorsements to some brands you know, I can be a superstar.",mixed
"I think learning Russian is the most important part because the first time that I've been to Russia was in 2019, and since then I was studying Russian as a minor language, composed really, but I didn't pay a lot of attention to Russian because I can speak English to everyone around me, so I spent most of my time on improving my English.",mixed
"Nowadays, even right now, I am reading some English literature every day to remember some native expressions or something like this.",mixed
"But Russian is a very important language for me to grasp because if I want to live in Russia and continue to build some bond with Russian entrepreneurs, I must learn Russian because not all the Russian people can speak English.",mixed
"And also, you know, in China they have a very good relationship with people, with countries in the Middle Asia.",mixed
"For example, Kazakhstan, Uzbekistan, Tajikistan, and also Russia, Belarus, Ukraine.",mixed
The Russian is the dominant language in this zone.,mixed
"And for example, one of my main friends in my restaurant, he's from Uzbekistan.",mixed
"He likes me very much, but he can't speak English.",mixed
"Every time he was saying something like ""Hi, how are you?"". ",mixed
And he was worried about whether I'm hungry or not.,mixed
He treated me very well.,mixed
"I really want to talk to him, but I can't speak Russian.",mixed
So that's a pity.,mixed
"So in the future, Russian is the main thing that I need to improve.",mixed
